Domain,Skillset,Experience(Yrs)
Programming Languages,C++,0.9
Programming Languages,R,2.1
Programming Languages,Python,1.5
Frameworks & Ecosystems,Django,0.7
Frameworks & Ecosystems,Flask,0.5
Frameworks & Ecosystems,HDFS,1
Frameworks & Ecosystems,PySpark,1
Analytics Tools/Framework,Qliksense,0.4
Analytics Tools/Framework,GGPlot,1.5
Analytics Tools/Framework,ML,2
Analytics Tools/Framework,SQL,0.6
Analytics Techniques,Regression & Classification,2
Analytics Techniques,NLP,1.5
Analytics Techniques,EDA & Visualizations,1.5
